review_id,user_id,business_id,stars_review,useful,funny,cool,text,date,name,city,state,stars_business,review_count,categories,review_count_user,average_stars,fans
saUsX_uimxRlCVr67Z4Jig,8g_iMtfSiwikVnbP2etR0A,YjUWPpI6HXG530lwP-fb2A,3.0,0,0,0,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.",2014-02-05 20:30:30,Kettle Restaurant,Tucson,AZ,3.5,47,"Restaurants, Breakfast & Brunch",1332,4.69,58
ymhbOMW63B_vGaRFR3XT0A,yZdAhQ_KmKuCZmbBy9YDQg,5Ce3lZksYVkCbrihqylVHQ,5.0,0,0,0,"I just started going to Sushi Nara this month (they opened just a short time ago).  I love this place; it is clean, the staff are friendly and acommodating, and the service is fast.  The sushi is always delicious ((I've been here 3 times) and the prices are reasonable. In fact, this week my husband stopped in for take out, bought 4 sushi rolls and the total was $24.  That is amazing.  

I love the freshness of the food and there's a huge selection to choose from.

Everyone on the eastside, check this place out!",2014-07-25 17:56:26,Sushi Nara,Tucson,AZ,4.5,159,"Sushi Bars, Japanese, Restaurants",3,5.0,0
onlgwy5qGDEzddsrnIvtWg,pYXeL0RCqus2IfhthYCOyA,W7NxQw8UYFR0HLPrI08tvw,4.0,0,0,0,"Don't know what it is but If my tummy's feeling icky, I can count on Chipotle's stake to fix me up. I just have to remember not to go during full on lunch time. I usually go between 2 & 4 when it's peaceful and calm. Busy or not the service is always friendly and fast!",2012-02-01 14:21:25,Chipotle Mexican Grill,Tucson,AZ,3.0,76,"Restaurants, Fast Food, Mexican",193,4.26,11
M7h8K7PrLrN8yQb3RhHLdA,CysTz612pTix75Fye6-D4Q,WLiqfxv_GhFFA5sm878a2w,5.0,0,1,1,Blew $80 on food for the family was worth it food was hot and orange chicken best I've tasted in a awhile..now it will be the place we get Asian food!!,2013-12-29 03:15:34,Wei Asian Cafe,Tucson,AZ,4.0,109,"Chinese, Restaurants",44,2.45,1
f7fAYGJpd4gZAoJxuJcciw,LpZfJekvMo5S61UBAmuyHw,cXAKeC-EgVChIxhS7fscmw,5.0,2,0,0,"The food at Ghini's is just delicious. Everything for French breakfast imaginable, and more. I highly recommend the eggs provencale, not something you can get anywhere else. Two eggs basted with a sliced hot house tomato, thyme, garlic and herbs de provance. Get the baguette toast and add the great hashbrowns for a mere dollar.
My personal favorite are all the crepes, both sweet and savory. Especially recommend the spinach and swiss.",2011-05-27 15:44:29,Ghini's French Caffe,Tucson,AZ,3.5,427,"Restaurants, Food, Breakfast & Brunch, Sandwiches, French, Bakeries, Salad",102,3.93,3
b0AI6U9CCWpFKI3iPLYiow,_l0csyXqNIcb3vG-1qR8DQ,UCMSWPqzXjd7QHq7v8PJjQ,4.0,0,0,0,"I really like Prep & Pastry - we have been twice in the last two months on a Sunday.  The best trick I learned is to put your name on the waitlist BEFORE YOU ARRIVE.  As long as you are within 5 miles of the restaurant, you can be added.  It is a great service.

I have tried a number of things for brunch and all have been excellent - even their sweets. I think my favorite is the breakfast sandwich.  I am not a big drinker, so I usually order the ice team and it really is better than almost anything else I have tried. 

Staff is really, really nice.  I highly recommend a visit if you are in town.",2017-09-20 18:19:33,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",31,4.59,0
chtDBb_3unH0Wcs3W2Iahw,gSp5C3BfIVAHdH27rzoCDQ,RhuYqAT45uIR2NNdDsolXQ,5.0,1,0,1,"Some of the finest Mexican food I've had. The fried fish taco is WONDERFUL, as is all of the other food. My biggest regret is not buying their red sauce and birria to take home. 

Also-there is no air conditioning. They do have ceiling fans, but we all know those aren't necessarily helpful in the monsoon season. The food is definitely worth the trip though!",2017-07-18 18:47:24,St Mary's Mexican Food,Tucson,AZ,4.0,207,"Restaurants, Mexican",21,4.43,1
pGKizwLILA_HafLj0b6CsQ,whbmSeWV7onskC6aT5k77w,GlYN-RJyL_YwxIqsSDo1ag,1.0,0,0,0,"One of the worst places in Tucson!  Cold food , rude service. They have the right idea but fail to deliver",2016-05-07 03:31:54,Mother Hubbard's Café,Tucson,AZ,3.5,250,"Diners, American (Traditional), Restaurants, Breakfast & Brunch, American (New), Waffles, Cafes",17,3.06,0
Zssrl36KBW-QMHsa8G9a_w,zcYZgNeJHpKCSBRwh6WskQ,SbdL-8NSmTWgSwdGZBa7WQ,5.0,0,0,0,"Another five-star dining review!  Fresco serves-up wonderful fresh and tasty pizza.  We tried this store as a change in our usual fare when we visit Tucson during the gem shows.  For what you get, their prices are very reasonable.  My husband and I were new, and the friendly young man behind the counter told us about their pizza, how it is made from all fresh ingredients, etc.  The restaurant was very clean and inviting.  We ordered the meat-special pizza, which included chunks of chicken besides the usual sausage, pepperoni, ham and bacon.  The pizza was GREAT!  Crispy AND tender crust, plenty of toppings, and a ""multiple-napkiner.""  We also had a nice talk with the young owner, and you can tell his business is his passion and only wants to serve the best and highest quality food to his customers.  We will definitely return next year!  Do I recommend Fresco?...YOU BETCHA I DO!!!",2015-02-24 04:27:38,Fresco Pizzeria,Tucson,AZ,4.0,240,"Food, Food Delivery Services, Salad, Italian, Pizza, Restaurants",76,4.59,1
nAP-pjVWSCjTM2eCf-5FwA,qPORuflcC27780nm7s2UUg,V9XlikTxq0My4gE8LULsjw,1.0,7,0,2,"Overpriced mediocrity.  Please don't waste your money here.  My family has eaten here twice and both times ""corporate"" has refunded the price of our meals because it has been so appalling.

This corporation/restaurant has no clue.  Please don't be ripped off.",2016-07-25 05:28:31,Claim Jumper Steakhouse & Bar,Tucson,AZ,2.5,325,"Restaurants, Nightlife, Seafood, Steakhouses, American (Traditional), Bars",54,2.1,2
